Compnay Name1|Compnay Name2|Account ID|Account Role|Order Number|Order Date|Product Line|Product Item|Material Master Product ID|Product Decription|Primary Product|Purchase Order|P.O. Date|Purchase/Net Amount|Target Quantity|Order Quantity|Order Type|Total Order Value|Sold to Country|Ship to Account ID|Market Code
Bausch Health US LLC||0070002503|0001|0308592662|20190531|58|001000|5184-3554|Vial,MicroV,screw,1.5ml,ambr,100PK|VI|VCUGL-54306|20190530|103.60 |0.000 |1.000 |ZTRD|103.60 |US|0070002503|
Ingredion Incorporated||0070277198|0001|0308593090|20190531|AA|005000|5063-6589|Plunger seal for 1100/1200 and 1050 2/PK|FL|4501418860|20190530|197.95 |0.000 |2.000 |ZTRD|638.91 |US|0070277198|
Ingredion Incorporated||0070277198|0001|0308593090|20190531|AA|004000|G1329-87017|Seat assy 0.17mm ID Standard Autosampler|ZXX|4501418860|20190530|170.71 |0.000 |1.000 |ZTRD|638.91 |US|0070277198|
Ingredion Incorporated||0070277198|0001|0308593090|20190531|AA|003000|5041-2168|Glass filter, solvent inlet|FL|4501418860|20190530|49.55 |0.000 |1.000 |ZTRD|638.91 |US|0070277198|
Ingredion Incorporated||0070277198|0001|0308593090|20190531|AA|002000|5067-4728|Seal Cap Assembly|SP|4501418860|20190530|27.41 |0.000 |1.000 |ZTRD|638.91 |US|0070277198|
Ingredion Incorporated||0070277198|0001|0308593090|20190531|AA|001000|5062-8562|AIV Cartridge (400bar)|FA|4501418860|20190530|193.29 |0.000 |1.000 |ZTRD|638.91 |US|0070277198|
Sterimax Inc||0070485583|0001|0308593115|20190531|AA|001000|925-0128|Polystyrene film, NIST traceable. 2/pk|PL|SPO175|20190530|1024.00 |0.000 |1.000 |ZTRD|1024.00 |CA|0070485583|
Kirkland Lake Gold Inc||0070315152|0001|0308593135|20190531|58|001000|5610102100|Gold - Au, Coded HC Lamp, 1/pk|LI|4500110343|20190530|2465.00 |0.000 |3.000 |ZTRD|2465.00 |CA|0070315152|
University of California Davis||0070233540|0001|0308593169|20190531|8P|001000|8120-6894|Cable-Assembly Power-Cord 3-Conductor 4.|IN|1080133593|20190530|386.00 |0.000 |2.000 |ZTRD|386.00 |US|0070233540|
PCS Phosphate Inc||0070245231|0001|0308593198|20190531|58|002000|5183-4479|Hdspc Al crmp cap, PTFE/btyl, 20mm,100PK|VI|2101113860|20190530|413.39 |0.000 |5.000 |ZTRD|610.00 |US|0070245231|
