Compnay Name1|Compnay Name2|Account ID|Account Role|Order Number|Order Date|Product Line|Product Item|Material Master Product ID|Product Decription|Primary Product|Purchase Order|P.O. Date|Purchase/Net Amount|Target Quantity|Order Quantity|Order Type|Total Order Value|Sold to Country|Ship to Account ID|Market Code
Cargill Inc||0070020227|0001|0308626351|20190616|AA|001000|19244-80560|Jet, Adaptable, capillary, 0.29mm ID|SP|M537159|20190614|244.12 |0.000 |4.000 |ZTRD|244.12 |US|0070020227|
Johnson Matthey Inc||0070180228|0001|0308626352|20190616|8P|002000|1610088600|CNCTR BARB 116 ID TO 18 ID TUBE|FT|192836|20190614|31.76 |0.000 |4.000 |ZTRD|606.84 |US|0070180228|
Johnson Matthey Inc||0070180228|0001|0308626352|20190616|AA|001000|7910051290|Transfer tube FEP cycl s/c on radial ICP|ZXX|192836|20190614|575.08 |0.000 |4.000 |ZTRD|606.84 |US|0070180228|
Corium International Inc||0070413707|0001|0308626353|20190616|BC|001000|823750-911|Poroshell 120,UHPLC Guard.EC-C18,3.0mm|ZXX|31851|20190614|552.00 |0.000 |1.000 |ZTRD|552.00 |US|0070413707|
Food Safety Net Services||0070277304|0001|0308626354|20190616|JW|002000|CP3418|TRITON X-100|SOL|TX00018300|20190614|66.15 |0.000 |1.000 |ZTRD|126.65 |US|0070277304|
Food Safety Net Services||0070277304|0001|0308626354|20190616|58|001000|8660-0791|alumina powder|CS|TX00018300|20190614|60.50 |0.000 |1.000 |ZTRD|126.65 |US|0070277304|
TestAmerica Laboratories Inc||0070209930|0001|0308626355|20190616|AA|001000|G7005-60061|Filament,high temperature EI for GCMS|CONS|3039795|20190614|784.16 |0.000 |8.000 |ZTRD|784.16 |US|0070260895|
ER Squibb & Sons LLC||0070442604|0001|0308626390|20190616|58|001000|12-6310|EVAPORATION COVER, DDM/EASEALIGN|PL|0044459946|20190607|732.00 |0.000 |6.000 |ZTRD|9798.00 |US|0070016489|
ER Squibb & Sons LLC||0070442604|0001|0308626390|20190616|58|002000|12-0318|200ml Conversion Kit E-Series (Set of 1)|FSA|0044459946|20190607|5784.00 |0.000 |6.000 |ZTRD|9798.00 |US|0070016489|
ER Squibb & Sons LLC||0070442604|0001|0308626390|20190616|58|003000|14-3636|Basket shaft, mini, spin on/off, o-ring|HM|0044459946|20190607|1542.00 |0.000 |6.000 |ZTRD|9798.00 |US|0070016489|
ER Squibb & Sons LLC||0070442604|0001|0308626390|20190616|58|004000|12-2102|Mini bskt 40 msh 381 Micron(bskt only)|HM|0044459946|20190607|1740.00 |0.000 |6.000 |ZTRD|9798.00 |US|0070016489|
